;Rank;Team;Won;Lost;Pct.;First NBA Season;Total Games;Division
2;3;Boston Celtics;3221.0;2,257;0.588;1946?47;5,478;Atlantic
10;11;Philadelphia 76ers;2726.0;2,578;0.514;1949?50;5,304;Atlantic
15;16;New York Knicks;2701.0;2,774;0.493;1946?47;5,475;Atlantic
25;26;Toronto Raptors;734.0;940;0.43799999999999994;1995?96;1,674;Atlantic
26;27;Brooklyn Nets;136.0;1,872;0.42100000000000004;1976?77;3,232;Atlantic
17;18;Detroit Pistons;2616.0;2,752;0.48700000000000004;1948?49;5,368;Central
7;8;Chicago Bulls;2115.0;1,936;0.522;1966?67;4,051;Central
12;13;Milwaukee Bucks;1983.0;1,905;0.51;1968?69;3,888;Central
21;22;Cleveland Cavaliers;1728.0;1,996;0.46399999999999997;1970?71;3,724;Central
14;15;Indiana Pacers;1606.0;1,625;0.49700000000000005;1976?77;3,231;Central
4;5;Oklahoma City Thunder;2139.0;1,831;0.539;1967?68;3,97;Northwest
5;6;Portland Trail Blazers;1991.0;1,733;0.535;1970?71;3,724;Northwest
6;7;Utah Jazz;1815.0;1,581;0.534;1974?75;3,396;Northwest
18;19;Denver Nuggets;1563.0;1,669;0.484;1976?77;3,232;Northwest
29;30;Minnesota Timberwolves;847.0;1,319;0.391;1989?90;2,166;Northwest
1;2;Los Angeles Lakers;3235.0;2,134;0.603;1948?49;5,369;Pacific
22;23;Sacramento Kings;2464.0;2,905;0.45899999999999996;1948?49;5,369;Pacific
3;4;Phoenix Suns;2122.0;1,766;0.546;1968?69;3,888;Pacific
28;29;Los Angeles Clippers;1469.0;2,255;0.39399999999999996;1970?71;3,724;Pacific
19;20;Golden State Warriors;259.0;2,884;0.473;1946?47;5,474;Pacific
23;24;Washington Wizards;2004.0;2,447;0.45;1961?62;4,451;Southeast
16;17;Orlando Magic;1062.0;1,104;0.49;1989?90;2,166;Southeast
24;25;Charlotte Hornets;916.0;1,168;0.44;1988?89;2,084;Southeast
13;14;Atlanta Hawks;265.0;2,656;0.499;1949?50;5,306;Southeast
8;9;Miami Heat;117.0;1,078;0.52;1988?89;2,248;Southeast
9;10;Houston Rockets;2052.0;1,918;0.517;1967?68;3,97;Southwest
0;1;San Antonio Spurs;2006.0;1,226;0.621;1976?77;3,232;Southwest
11;12;Dallas Mavericks;1482.0;1,422;0.51;1980?81;2,904;Southwest
27;28;Memphis Grizzlies;694.0;980;0.415;1995?96;1,674;Southwest
20;21;New Orleans Pelicans;528.0;604;0.466;2002?03;1,132;Southwest
